评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6698901720,一只卡鸭啊,男,湖北,27,127,15,回复@本宝宝大帅比诶:对内严防，做到你想感染都没机会。,0,2021-03-05 09:01
https://weibo.cn//u/1827940682,老李来了哦,男,河南,38,11,19,非洲鬣狗疫苗，去那要吧,0,2021-03-05 08:59
https://weibo.cn//u/1775315962,烘培小白大E,男,广东,1745,813,228,给总统九族一人一支吧,0,2021-03-05 08:56
https://weibo.cn//u/1880951123,桀骜的自由,男,北京,8260,98,682,价高者得，该卖卖，有钱不赚有意思吗？,0,2021-03-05 08:55
https://weibo.cn//u/5149791629,你们别再打啦,男,其他,198,120,28,回复@夜幕上嵌着的是我:没乱说嘛,0,2021-03-05 08:35
https://weibo.cn//u/2035136191,前尘往事成云烟V,男,广西,0,3,43,咱不差钱，不赚捷克的钱了,0,2021-03-05 08:35
https://weibo.cn//u/2569407403,零加薪,男,广东,163,19,47,回复@微天下:唉～孙子要出国留学…自己退休了还要出国养老…咳咳，做人留一线，日后好相见…整一整西装，提高音呗:中国是负责任大国，要有大国风范，不会坐视不理，给jk援助50万剂🤓,0,2021-03-05 08:33
https://weibo.cn//u/7385550739,礼拜五2020,男,北京,363,43,18,我们产能不足,0,2021-03-05 08:32
https://weibo.cn//u/5028893835,鸭梨爱俊,女,山东,142,103,60,发小在布拉格留学，希望能先给滞留在捷克的中国人打打疫苗，那边可太严重了……,0,2021-03-05 08:27
https://weibo.cn//u/5926697996,獐狼恶霸呀,男,其他,187,250,163,回复@小逗丁儿86:不是对针对你，是当时捷克的做法太让人气愤,0,2021-03-05 08:22
https://weibo.cn//u/2946930674,猜不透Alex,男,福建,391,637,217,不要给啊 或者拒绝给布拉格,0,2021-03-05 08:19
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:首先提出政府给疫苗假设的是你，我是顺着你的假设为政府这种做法做出解释，你却在这头脑一热用激烈的言辞把我打成不在乎国家尊严和挑拨离间的人,0,2021-03-05 08:15
https://weibo.cn//u/2521917935,作为普通用户只能改一次名字,男,北京,266,131,322,回复@恰饭饭呢:别国政治都拿中国来当拉踩筹码是中国强大的证明,0,2021-03-05 08:14
https://weibo.cn//serendipity73,百诺恩股东大S,女,其他,1075,308,10254,可以来买,0,2021-03-05 08:13
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:我都那样解释了你竟然还是这样的语气回复我，我自问自己一向左派立场也会被你打成挑拨离间，真不懂你的阅读理解怎么会这么差，明明我说了我作为普通公民希望对捷克请求不理不睬，你却依旧说我想把疫苗给别人，特别是看到你说我要求政府这么干还加个感叹号真的让我觉得好笑,0,2021-03-05 08:12
https://weibo.cn//u/5617876038,光影相交,男,上海,164,90,121,回复@地狱之伞兵:历史是用来反思和参照的。人类社会是需要发展前进的。如子钻在里面不肯出来可悲可叹。空有爱国情 实拖发展腿是为假，行损国利益而不自知是为奸，闻发展是第一生产力而不自查是为蠢。汝此之人，也敢嘤嘤狂吠 实乃王司徒转世也,0,2021-03-05 08:12
https://weibo.cn//u/6086437158,红魔sheva-777,男,山东,2,175,4,回复@恰饭饭呢:回答你的问题 给你科普一下 1全世界60亿左右人口 中国14亿左右人口 所以除去几个流氓政权国家 这194个国家大概也有40多亿人民 2因为全世界搞社会主义的国家就5个 中朝越古老 看看国际形势就很容易认清现实 是不是别的国家一起,0,2021-03-05 08:10
https://weibo.cn//u/7065623935,萌剧外外传,女,其他,79,417,88,回复@我是盐酸呀:怎么从源头解决呢？杀掉这三千万男士吗？除了战争还有好办法吗。,0,2021-03-05 08:07
https://weibo.cn//u/1736732931,木田日月雨,女,山东,703,141,255,反华者求疫苗的不给。,0,2021-03-05 08:03
https://weibo.cn//u/1852508554,文艺Cassell,女,上海,991,378,154,回复@阿福的梦:杰克脸可真够大的，反华的事儿不提了，觍着脸要东西可行,0,2021-03-05 08:03
https://weibo.cn//u/6311836006,地狱之伞兵,女,北京,10,40,12,回复@光影相交:是是是 历史忘记的可真快 健忘的国人 一个个在这把勿忘国耻挂在嘴边 真正的仇敌都给忘了 日本除了琉球可没侵占中国领土 毛子抢了多少还在这说我刻舟 那我是不是可以说你没良心忘了国仇家恨啊 一寸山河一寸血 这毛子抢走的土地是多少血啊,0,2021-03-05 08:02
https://weibo.cn//u/2008198525,gk_1983,男,湖北,4052,430,455,先买他几吨凤梨吃了再说，凤梨可以预防新冠,0,2021-03-05 07:59
https://weibo.cn//u/5872149381,老头羊2014,男,北京,24,7,162,可以给点 都是 得慢慢慢慢慢慢等。,0,2021-03-05 07:59
https://weibo.cn//u/5617876038,光影相交,男,上海,164,90,121,回复@地狱之伞兵:好好的刻你的舟,0,2021-03-05 07:58
https://weibo.cn//u/7444434819,ST李炜不会投资,男,江苏,11613,567,309,建议向中国台湾省求援,0,2021-03-05 07:57
https://weibo.cn//u/5614241185,四零四Zzz,男,湖北,1072,107,216,要什么疫苗嘛，一天18公斤凤梨不好嘛,0,2021-03-05 07:55
https://weibo.cn//u/5614241185,四零四Zzz,男,湖北,1072,107,216,回复@黑格尔的冥想:36斤,0,2021-03-05 07:54
https://weibo.cn//u/6582395460,SuessSchwein,女,其他,0,56,10,回复@云上一只喵:额，议员和总统一样是选出来的，现在议会和他们的总统总理是不同党派,0,2021-03-05 07:49
https://weibo.cn//u/6311836006,地狱之伞兵,女,北京,10,40,12,回复@妖精的直发:也不知道谁杠 看看热搜第九 江苏明确教师不得用手机布置作业 我也没看到用江苏省啊 国内哪次说省名字非要加个省了？非要抬杠给台湾搞特殊？又没说台湾国非要强调这没用的？咋了不说台湾省就会被当成台湾县台湾镇台湾国了呗 那要是怕没脑子的不强调台湾省当成台湾国 那咋不加个中国台湾省呢,0,2021-03-05 07:47
https://weibo.cn//u/6582395460,SuessSchwein,女,其他,0,56,10,回复@蚂蚁不怕辣:而且就连美国总统也管不了议长啊(众议院),0,2021-03-05 07:46
https://weibo.cn//u/1202324624,永远1202324624,男,河北,25,12,526,让他那些去台湾的高层人士去台湾要去吧，加油接客,0,2021-03-05 07:42
https://weibo.cn//u/6256364802,勇往直前581,男,上海,2554,1639,601,不给 坚决不给,0,2021-03-05 07:42
https://weibo.cn//u/3226361870,一天到晚就想着多财多亿的骑士猫,男,新疆,1676,209,184,给你个大青蛙,0,2021-03-05 07:40
https://weibo.cn//u/6165353134,恰饭饭呢,女,江西,288,67,133,回复@红魔sheva-777:好笑的语言，这194个国家，加起来人口有多少，还有一句，你咋知道194个国家钢板一块？无知,0,2021-03-05 07:35
https://weibo.cn//u/6165353134,恰饭饭呢,女,江西,288,67,133,回复@作为普通用户只能改一次名字:未来50年是中国的，他们该适应中国了，你见过有人去讨好比你弱的国家么？,0,2021-03-05 07:33
https://weibo.cn//u/5800745734,香草奶昔菌,男,广东,111,160,150,脸皮真厚,0,2021-03-05 07:27
https://weibo.cn//u/3905405661,森林里的迷宫,男,其他,41,137,96,感觉这些国家的领导人脑洞奇葩，这边一直打压攻击咱们，那边还有脸张口要东西。见过脸皮厚的没见过这么不要脸的,1,2021-03-05 07:24
https://weibo.cn//u/7385805881,无知小子091,男,广东,9,45,79,台湾凤梨可以抑制新冠的，买台湾凤梨就好了,0,2021-03-05 07:14
https://weibo.cn//u/7488360078,ggcoolli86962,男,其他,3,232,26,回复@艳阳天与浮躁:你是什么样的居心，为什么这么想把疫苗给别人，我说说大家就明白了！一个践踏过我国底线的国家，伤害过我们人民自尊的政府，现在转头来要我们帮他们，然后全网人民大多数不同意我们的政府去做这事，你却要求我们政府这么干！我们政府要是给了，不同意的人民会怎么看我们的政府，挑拨离间真有一套,0,2021-03-05 07:13
https://weibo.cn//u/1703899173,伊甸之东-123,男,江西,3183,3846,984,100亿一剂疫苗，,0,2021-03-05 07:12
https://weibo.cn//u/6230751414,小怪兽的冬天居士,男,上海,53,40,51,牛尿治新冠。。。找阿三买,0,2021-03-05 07:09
https://weibo.cn//u/2697426320,Hubble0410,男,广东,17982,602,604,不约,0,2021-03-05 07:08
https://weibo.cn//u/1409233345,代号Carlos,男,黑龙江,1215,244,1480,去湾湾找菜菜子啊。,0,2021-03-05 07:07
https://weibo.cn//573311392,HW遛狗大师,男,四川,23866,197,15022,回复@伊亚街里的伊亚里郎:太少，至少十万美元一支，而且需要提前预约付款，每周一十点抢购,0,2021-03-05 07:04
https://weibo.cn//u/6077726936,spruce_api,男,江苏,8,255,246,脸皮真厚,0,2021-03-05 07:01
https://weibo.cn//u/5141072296,股民_守株待牛,男,陕西,93,15,239,台蛙 can help,0,2021-03-05 06:54
https://weibo.cn//u/2451162962,He-2019,男,河南,638,495,188,湾湾可以供疫苗加凤梨,0,2021-03-05 06:49
https://weibo.cn//u/1577398594,feng9826,男,其他,1549,64,384,回复@微天下:按市场价格卖！,0,2021-03-05 06:49
https://weibo.cn//u/6571101554,狩魔猎人杰洛特of利维亚,男,其他,245,1099,135,台湾can help！,0,2021-03-05 06:48
https://weibo.cn//u/2694534942,echocyn,女,上海,2867,475,341,想起小品扶不扶了,0,2021-03-05 06:47
https://weibo.cn//u/6094479770,民工漫拱门,男,其他,57,162,41,回复@本宝宝大帅比诶:怎么，你们那疫情很重？再说国家可以申请打，而且免费，一年产能拉满也不够中国人用的，肯定哪着急哪先用,0,2021-03-05 06:46
https://weibo.cn//u/7328188545,传说中的K飞天小女警,女,其他,2634,222,67,回复@IRNM666:发完这次不发了,0,2021-03-05 06:31
https://weibo.cn//u/5645812273,我是一颗七彩雨花石,女,江苏,107,632,87,回复@cneyilin:简单明了,0,2021-03-05 06:10
https://weibo.cn//u/3490638632,旭日东升236,男,辽宁,12,7,257,"送他两个字“加油""",0,2021-03-05 06:04
https://weibo.cn//xiaoyaotianyiyou,准备着一飞冲天,男,湖北,10540,2236,1027,//,0,2021-03-05 05:35
https://weibo.cn//u/5562821715,帝王蝎43418,男,其他,0,0,1,以怨报德凭啥以德报怨？一剂都不能给！！！！！,1,2021-03-05 05:07
https://weibo.cn//u/5180466530,角落里的哀伤2016,女,其他,522,183,116,相信如果支援的话祖国不会让自己吃亏的，榨干他！     举报             赞[0]         回复             03月05日 03:59 来自网页,0,2021-03-05 03:59
https://weibo.cn//u/2505194132,无妄无涯,男,北京,295,381,61,那条推下面的白眼狼们还一堆嫌弃我们疫苗的呢，以德报怨何以报德？我很怀疑要了就给有什么意义！还不明白这些人畏威而不畏德？既然都这么嫌弃就不给，让他们自己等欧洲的疫苗去，该死的就死该烂的就烂，毕竟“这就是人生”,1,2021-03-05 03:17
https://weibo.cn//u/2365451671,丑恶永痘肌垃圾垃圾垃圾,女,广东,570,245,380, 好不要脸,0,2021-03-05 02:45
https://weibo.cn//u/5885371399,吾老夫子,男,山东,5,41,5,强烈要求先把那个鼹鼠议长正法了再说！,0,2021-03-05 02:14
https://weibo.cn//u/2140600751,钟罗军,男,广东,51,60,610,湾湾有稳他要,0,2021-03-05 01:40
https://weibo.cn//u/6448420570,天空擊落女孩,女,其他,342,601,150,回复@翟在企鹅岛的Bill:欧洲人多多少少都有讨厌中国人的 没啥大不了的 国外奢侈品店最多的顾客还是中国人,0,2021-03-05 01:26
https://weibo.cn//u/7437313612,IRNM666,男,海外,11,41,7,回复@传说中的K飞天小女警:可以私信给我吗？,0,2021-03-05 01:18
https://weibo.cn//u/2005786213,站住獅子,女,广东,207,920,1676,我都还没扎上呢🙃,0,2021-03-05 00:22
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:希望你下次别随便把我定为对国家尊严不在乎的人民,0,2021-03-05 00:05
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:本身我国外交成熟后的智慧就是实用主义和目光比其他国家更长远，中国不提供疫苗给捷克，印度美国也会提供，就算美国可能会提供晚一些，印度提供的疫苗品质低一点，但也吃早会有，不如我们先高价卖去,0,2021-03-05 00:04
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:我的那条评论只是对政府给捷克疫苗这一做法的个人解释，你不该用这样的语气来回复我，因为就我个人而言也希望国家能对捷克不理不睬，拒绝提供。但你自己也想想，我国那么多次呼吁疫苗共享，那么多次公告我国疫苗援助不为政治博弈，现在拒绝难道不是对国际信用的伤害？所以选择高价卖，也是一个优解,0,2021-03-05 00:01
https://weibo.cn//u/3256149715,haigehe,女,广东,379,310,111,回复@小小叶子1007:是的,0,2021-03-04 23:48
https://weibo.cn//u/2273788251,Minovember,女,河南,1389,733,293,回复@小学篱笆旁的蒲公英l:是,0,2021-03-04 23:48
https://weibo.cn//u/1949699480,小学篱笆旁的蒲公英l,女,河北,532,344,136,回复@Minovember:又怎么说呢，始终认为，好人坏人其实不应以国界划分,0,2021-03-04 23:43
https://weibo.cn//u/6994749607,木有感情的死胖子,男,上海,329,92,35,谁？捷克？滚！,0,2021-03-04 23:36
https://weibo.cn//u/3044938004,花椰菜去哪里啦,女,四川,248,55,74,不给！滚！,0,2021-03-04 23:19
https://weibo.cn//u/3270877405,本宝宝大帅比诶,男,海外,667,599,142,回复@冰糖葫芦乱加皮:只要有一个地方要排队就可以说，懂？,0,2021-03-04 23:10
https://weibo.cn//u/1489520942,心灵旅者Jason,男,陕西,6193,1074,3278,滚,0,2021-03-04 23:07
https://weibo.cn//u/5408423900,百胜千度,男,其他,2062,562,363,让他们的访台议长，负荆请罪来北京跪求疫苗！,1,2021-03-04 23:02
https://weibo.cn//u/2657655427,渤海紫龙,男,山东,796,113,93,如果给了捷克疫苗，会让反华挺台国家觉得干涉中国内政也没啥大不了的,0,2021-03-04 23:01
https://weibo.cn//cathorjance,CathorJance,女,其他,6074,787,425,想屁吃,0,2021-03-04 22:56
https://weibo.cn//u/7487049447,封我号的biss,男,其他,138,149,4,台湾，也是中国的，跟中国台湾省要去,0,2021-03-04 22:52
https://weibo.cn//u/2083075577,发毛草莓,女,广东,95,159,279,没货，请排队！,0,2021-03-04 22:47
https://weibo.cn//u/5627635725,椰蓉黄油吐司,女,其他,1303,186,749,一手交钱一手交货,0,2021-03-04 22:46
https://weibo.cn//1991myan,艳行美食,女,海南,21598,1142,2241,有什么用钱买不到的技术还是仪器吗，有的话，可以商量，没有也没事，做梦去！,0,2021-03-04 22:45
https://weibo.cn//u/1015583175,地球人2113,男,重庆,208,1009,409,真见,0,2021-03-04 22:45
https://weibo.cn//u/1918565995,山上有肥牛,男,上海,1693,740,293,发现白人真的不要脸，反中的是你们，要东西了也不含糊，把中国招之即来，挥之即去，玩的溜啊,0,2021-03-04 22:38
https://weibo.cn//u/5887517339,膀大腰圆虎背熊腰,男,江西,325,35,53,回复@不良硕士:捷克老反华大本营了 你不会现在还不知道把,0,2021-03-04 22:38
https://weibo.cn//u/5830082583,冰糖葫芦乱加皮,女,其他,398,71,40,回复@本宝宝大帅比诶:同样的话问你，你那地方就能代表全国了？你那什么地方？,0,2021-03-04 22:37
https://weibo.cn//u/1896383215,大鱼MA,男,广东,3609,47,455,6666666666666,0,2021-03-04 22:30
https://weibo.cn//u/5277270721,沉溺_J,男,湖北,214,13,72,Zf不要装逼了，先把自己人都打上了在装好么？,1,2021-03-04 22:28
https://weibo.cn//u/1757181095,莉酱小公举,女,福建,447,560,661,回复@尼奇窝窝:台湾can help,0,2021-03-04 22:21
https://weibo.cn//u/7571428779,我是哈哈镜1920,女,广东,21,104,1,友宜之邦,0,2021-03-04 22:16
https://weibo.cn//xin904,Imchrish,男,其他,1147,486,201,不 给,0,2021-03-04 22:16
https://weibo.cn//ljinxiao,linjxiao,男,广东,219,183,81,: 不给，这反华国家就别管了。,0,2021-03-04 22:09
https://weibo.cn//u/3270877405,本宝宝大帅比诶,男,海外,667,599,142,回复@民工漫拱门:北京等于全国啊,0,2021-03-04 22:04
https://weibo.cn//u/3270877405,本宝宝大帅比诶,男,海外,667,599,142,回复@冰糖葫芦乱加皮:你们这边就代表全国其他地区了？,0,2021-03-04 22:03
https://weibo.cn//tusi001,吐司男_martin,男,广东,602,342,699,睬你都傻,0,2021-03-04 22:03
